"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","47.95956171812455","52.241315508895035","0.012451171875","0.021484375","0.00341796875","1560","0.004752358689038291","24","0.004752358689038291","0","0.004752358689038291","0.004752358689038291","1:68","1:0.025759732852575795","1:0.033540642863515324","0.012451171875","Yes"
"1","182.57858435700496","276.7405451391657","0.027587890625","0.03173828125","0.0234375","1560","0.0005395294966133911","24","0.0005395294966133911","0","0.0005395294966133911","0.0005395294966133911","2:68;0:68","2:0.0032240523844544455;0:0.025759732852575795","2:0.002205478140767936;0:0.033540642863515324","0.027587890625","Yes"
"2","249.8217632382403","187.69432014606082","0.00341796875","0.00341796875","0.00341796875","1560","0.000150607676511428","24","0.000150607676511428","0","0.000150607676511428","0.000150607676511428","1:68;3:68","1:0.0032240523844544455;3:0.0022965923834392388","1:0.002205478140767936;3:0.0023512224370037804","0.00341796875","Yes"
"3","326.4946032892165","260.9090767622022","0.027099609375","0.03173828125","0.0224609375","1560","0.00018307922448113268","24","0.00018307922448113268","0","0.00018307922448113268","0.00018307922448113268","16:68;2:68;4:68","16:0.0034733475250101897;2:0.0022965923834392388;4:0.0017457607305766398","16:0.00636956898035837;2:0.0023512224370037804;4:0.002145199708629447","0.027099609375","Yes"
"4","183.85540308184832","137.16285951769456","0.006591796875","0.0107421875","0.00244140625","1560","0.0002702374785812881","24","0.0002702374785812881","0","0.0002702374785812881","0.0002702374785812881","3:68;5:68","3:0.0017457607305766398;5:0.0023249667642748217","3:0.002145199708629447;5:0.0023770827550431695","0.006591796875","Yes"
"5","166.8473663495458","176.40572860912297","0.007080078125","0.00830078125","0.005859375","1560","0.00030767942736283196","24","0.00030767942736283196","0","0.00030767942736283196","0.00030767942736283196","6:68;4:68","6:0.009851272513795917;4:0.0023249667642748217","6:0.005125419732957992;4:0.0023770827550431695","0.007080078125","Yes"
"6","140.8264518484031","110.90578898039261","0.006591796875","0.005859375","0.00732421875","1560","0.0002807622909772203","24","0.0002807622909772203","0","0.0002807622909772203","0.0002807622909772203","5:68;7:68","5:0.009851272513795917;7:0.0022609036315118514","5:0.005125419732957992;7:0.0030813094086586945","0.006591796875","Yes"
"7","102.81185615543777","39.54851398082967","0.022216796875","0.0302734375","0.01416015625","1560","0.00033512053336762476","24","0.00033512053336762476","0","0.00033512053336762476","0.00033512053336762476","17:68;6:68;8:68","17:0.0033404937380595856;6:0.0022609036315118514;8:0.002950077507894777","6:0.0030813094086586945;8:0.0038629154734123317","0.022216796875","Yes"
"8","161.58441453584985","35.06146007507521","0.00537109375","0.0078125","0.0029296875","1560","0.0005622483566554943","24","0.0005622483566554943","0","0.0005622483566554943","0.0005622483566554943","9:68;7:68","9:0.0024515472839655994;7:0.002950077507894777","9:0.0025426200663857534;7:0.0038629154734123317","0.00537109375","Yes"
"9","351.6274329912696","28.934592955488238","0.010009765625","0.0078125","0.01220703125","1560","0.0001615292321100266","24","0.0001615292321100266","0","0.0001615292321100266","0.0001615292321100266","8:68;10:68","8:0.0024515472839655994;10:0.002236111089470083","8:0.0025426200663857534;10:0.0016566108735182605","0.010009765625","Yes"
"10","225.8720793195617","85.81495842941331","0.009521484375","0.01416015625","0.0048828125","1560","0.00025569871621304244","24","0.00025569871621304244","0","0.00025569871621304244","0.00025569871621304244","9:68;11:68","9:0.002236111089470083;11:0.011319615826934692","9:0.0016566108735182605;11:0.011048122237914876","0.009521484375","Yes"
"11","90.63155000519093","67.77040216030724","0.455810546875","0.4033203125","0.50830078125","1560","0.0011895138345090588","24","0.0011895138345090588","0","0.0011895138345090588","0.0011895138345090588","18:68;10:68;12:68","18:0.012861731750252015;10:0.011319615826934692;12:0.009475751324075576","18:0.008813347580362174;10:0.011048122237914876;12:0.008662639741655459","0.455810546875","Yes"
"12","67.01323141285569","66.23412411356166","0.020263671875","0.03125","0.00927734375","1560","0.00037497291143363684","24","0.00037497291143363684","0","0.00037497291143363684","0.00037497291143363684","13:68;11:68","13:0.00600257524372011;11:0.009475751324075576","13:0.005639368709763892;11:0.008662639741655459","0.020263671875","Yes"
"13","317.551024796833","194.0430875682063","0.01220703125","0.01171875","0.0126953125","1560","0.00024829411461487275","24","0.00024829411461487275","0","0.00024829411461487275","0.00024829411461487275","12:68;14:68","12:0.00600257524372011;14:0.0017532739635171823","12:0.005639368709763892;14:0.0022051870419281527","0.01220703125","Yes"
"14","189.68577259485946","56.39063046737137","0.004638671875","0.00634765625","0.0029296875","1560","0.00018343738050527445","24","0.00018343738050527445","0","0.00018343738050527445","0.00018343738050527445","15:68;13:68","15:0.001950913463863252;13:0.0017532739635171823","15:0.0019420239347421042;13:0.0022051870419281527","0.004638671875","Yes"
"15","284.3469059783228","192.1461781799893","0.02783203125","0.03271484375","0.02294921875","1560","0.00020320631684213523","24","0.00020320631684213523","0","0.00020320631684213523","0.00020320631684213523","14:68;19:68","14:0.001950913463863252;19:0.0028382359354134634","14:0.0019420239347421042;19:0.0023415666380519617","0.02783203125","Yes"
"16","202.53689726544613","148.0939751005935","0.168701171875","0.333984375","0.00341796875","1560","0.0005115864295205194","24","0.0005115864295205194","0","0.0005115864295205194","0.0005115864295205194","23:68;3:68","23:0.006779012520276295;3:0.0034733475250101897","23:0.00898190090943507;3:0.00636956898035837","0.168701171875","Yes"
"17","200.93323551412118","100.98779071825098","0.50732421875","0.95263671875","0.06201171875","1560","0.0004088454565487083","24","0.0004088454565487083","0","0.0004088454565487083","0.0004088454565487083","7:68;27:68","7:0.0033404937380595856;27:0.02911399074663984","","0.50732421875","Yes"
"18","143.91122294916818","72.23081788582259","0.004150390625","0.0048828125","0.00341796875","1560","0.00029930581108001","24","0.00029930581108001","0","0.00029930581108001","0.00029930581108001","11:68;31:68","11:0.012861731750252015;31:0.002780357140588996","11:0.008813347580362174;31:0.003553200961574826","0.004150390625","Yes"
"19","75.12093701801369","59.428562503760155","0.01171875","0.01171875","0.01171875","1560","0.0005650675471950261","24","0.0005650675471950261","0","0.0005650675471950261","0.0005650675471950261","35:68;15:68","35:0.0020722768193152385;15:0.0028382359354134634","35:0.0017995522771420136;15:0.0023415666380519617","0.01171875","Yes"
"20","115.86758893081043","154.2409741064993","0.009033203125","0.01220703125","0.005859375","1560","0.001016578571654715","24","0.001016578571654715","0","0.001016578571654715","0.001016578571654715","21:68","21:0.014951692749836237","21:0.004902491939066056","0.009033203125","Yes"
"21","192.06361326520926","138.4557799351754","0.0078125","0.0107421875","0.0048828125","1560","0.0003844238775102151","24","0.0003844238775102151","0","0.0003844238775102151","0.0003844238775102151","36:68;20:68;22:68","36:0.00792673667876026;20:0.014951692749836237;22:0.00275009245441149","36:0.004116233997738222;20:0.004902491939066056;22:0.01331968164802097","0.0078125","Yes"
