"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","215.9645828025881","271.849341780157","0.009765625","0.00732421875","0.01220703125","2280","0.00033711319933089966","32","0.00033711319933089966","0","0.00033711319933089966","0.00033711319933089966","1:0.0013057550474464552","1:68","1:0.0017385009586522726","0.009765625","0.2490234375","Yes"
"1","251.57978946811022","390.3092866570654","0.00927734375","0.01318359375","0.00537109375","2280","0.00023789394748083235","32","0.00023789394748083235","0","0.00023789394748083235","0.00023789394748083235","2:0.0012060088408910596;0:0.0013057550474464552","2:68;0:68","2:0.0014066691891837513;0:0.0017385009586522726","0.00927734375","0.355224609375","Yes"
"2","322.01582490627015","104.18717928515909","0.010009765625","0.01416015625","0.005859375","2280","0.00020020314151467078","32","0.00020020314151467078","0","0.00020020314151467078","0.00020020314151467078","1:0.0012060088408910596;3:0.0015262811874019178","1:68;3:68","1:0.0014066691891837513;3:0.0016740171455484065","0.010009765625","0.0087890625","Yes"
"3","118.17657633577721","164.02559606284677","0.0059814453125","0.0078125","0.004150390625","2280","0.0006216212326353846","32","0.0006216212326353846","0","0.0006216212326353846","0.0006216212326353846","16:0.0021091656103053302;2:0.0015262811874019178;4:0.002235504573656344","16:68;2:68;4:68","16:0.0019891400058113518;2:0.0016740171455484065;4:0.0022017785262666845","0.0059814453125","0.043212890625","Yes"
"4","208.49409479179906","52.017492732991755","0.0074462890625","0.008544921875","0.00634765625","2280","0.0003093808933844155","32","0.0003093808933844155","0","0.0003093808933844155","0.0003093808933844155","3:0.002235504573656344;5:0.002661646147201241","3:68;5:68","3:0.0022017785262666845;5:0.002498206489482707","0.0074462890625","0.020751953125","Yes"
"5","202.85568853304716","61.93900567469646","0.0164794921875","0.030517578125","0.00244140625","2280","0.0006465601878849114","32","0.0006465601878849114","0","0.0006465601878849114","0.0006465601878849114","6:0.004061922643731342;4:0.002661646147201241","6:68;4:68","6:0.003079866658272118;4:0.002498206489482707","0.0164794921875","0.009765625","Yes"
"6","203.75099190607867","92.87356070878835","0.0079345703125","0.01220703125","0.003662109375","2280","0.0003301157229459422","32","0.0003301157229459422","0","0.0003301157229459422","0.0003301157229459422","5:0.004061922643731342;7:0.00896129958737063","5:68;7:80","5:0.003079866658272118;7:0.00795604829079008","0.0079345703125","0.009521484375","Yes"
"7","148.78527080565763","55.25048042221815","0.014404296875","0.01708984375","0.01171875","2280","0.00043827635927098224","32","0.00043827635927098224","0","0.00043827635927098224","0.00043827635927098224","17:0.007083703865143509;6:0.00896129958737063;8:0.007624809560412726","17:68;6:80;8:68","17:0.003866437763220737;6:0.00795604829079008;8:0.004305169278120163","0.014404296875","0.05078125","Yes"
"8","176.41227437322064","78.07477628974965","0.0040283203125","0.0068359375","0.001220703125","2280","0.00028069026055637357","32","0.00028069026055637357","0","0.00028069026055637357","0.00028069026055637357","9:0.0031481372252507855;7:0.007624809560412726","9:68;7:68","9:0.0019276691576281257;7:0.004305169278120163","0.0040283203125","0.007080078125","Yes"
"9","113.89330937355888","32.10372079519814","0.0052490234375","0.00732421875","0.003173828125","2280","0.00028365200063113546","32","0.00028365200063113546","0","0.00028365200063113546","0.00028365200063113546","8:0.0031481372252507855;10:0.005614007547671496","8:68;10:68","8:0.0019276691576281257;10:0.0025074133665922427","0.0052490234375","0.009033203125","Yes"
"10","293.6258727877408","17.859545443466484","0.0035400390625","0.00537109375","0.000732421875","2280","0.0003175327080748953","32","0.0003175327080748953","0","0.0003175327080748953","0.0003175327080748953","9:0.005614007547671496;11:0.0013103181675707953","9:68;11:68","9:0.0025074133665922427;11:0.0015461901435774028","0.0035400390625","0.00341796875","Yes"
