"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","283.47236420308536","37.05370070855467","0.007568359375","0.00927734375","0.005859375","2584","0.0004031316708841428","36","0.0004031316708841428","0","0.0004031316708841428","0.0004031316708841428","1:0.004378286464099712","1:68","1:0.0029247464278403246","0.007568359375","Yes"
"1","187.78438797125517","161.59314486228223","0.0050048828125","0.006591796875","0.00341796875","2584","0.00016474181426686516","36","0.00016474181426686516","0","0.00016474181426686516","0.00016474181426686516","2:0.0015546080622790837;0:0.004378286464099712","2:68;0:68","2:0.0008993416411644528;0:0.0029247464278403246","0.0050048828125","Yes"
"2","247.81717795701456","303.8251288965486","0.006103515625","0.00927734375","0.0029296875","2584","0.00019268415279128143","36","0.00019268415279128143","0","0.00019268415279128143","0.00019268415279128143","1:0.0015546080622790837;3:0.0023595165618587044","1:68;3:68","1:0.0008993416411644528;3:0.001175533886698471","0.006103515625","Yes"
"3","233.01033934890486","200.99281088690176","0.0096435546875","0.01708984375","0.002197265625","2584","0.00025943726481402786","36","0.00025943726481402786","0","0.00025943726481402786","0.00025943726481402786","16:0.002401631094200357;2:0.0023595165618587044;4:0.0026649360841685954","16:68;2:68;4:80","16:0.0013746214391749112;2:0.001175533886698471;4:0.009099989359760058","0.0096435546875","Yes"
"4","201.12050772518216","249.8327759225831","0.0224609375","0.03759765625","0.00732421875","2584","0.0003265731461071556","36","0.0003265731461071556","0","0.0003265731461071556","0.0003265731461071556","3:0.0026649360841685954;5:0.002232406197800463","3:80;5:68","3:0.009099989359760058;5:0.0032786662825400326","0.0224609375","Yes"
"5","212.30824136573227","163.8583853929127","0.003173828125","0.004638671875","0.001708984375","2584","0.00015700569816006534","36","0.00015700569816006534","0","0.00015700569816006534","0.00015700569816006534","6:0.0015671621660286461;4:0.002232406197800463","6:68;4:68","6:0.0013763706379757157;4:0.0032786662825400326","0.003173828125","Yes"
"6","336.7081256973004","262.5997694245819","0.008056640625","0.009765625","0.00634765625","2584","0.00033639186849727097","36","0.00033639186849727097","0","0.00033639186849727097","0.00033639186849727097","5:0.0015671621660286461;7:0.001529714897041956","5:68;7:68","5:0.0013763706379757157;7:0.0011721605290923032","0.008056640625","Yes"
"7","267.0965823125056","122.5921409205699","0.005126953125","0.006103515625","0.004150390625","2584","0.00019838561336755716","36","0.00019838561336755716","0","0.00019838561336755716","0.00019838561336755716","17:0.0014258818616577906;6:0.001529714897041956;8:0.0019526219763698893","17:68;6:68;8:80","17:0.0013751453005840797;6:0.0011721605290923032;8:0.0018029407807982623","0.005126953125","Yes"
"8","247.0304578827219","128.28042972196337","0.009521484375","0.01220703125","0.0068359375","2584","0.00025852078861925625","36","0.00025852078861925625","0","0.00025852078861925625","0.00025852078861925625","9:0.0024900006323779755;7:0.0019526219763698893","9:68;7:80","9:0.001928650152621697;7:0.0018029407807982623","0.009521484375","Yes"
"9","214.63497829785612","310.6232356550377","0.0159912109375","0.020751953125","0.01123046875","2584","0.00018394109295941671","36","0.00018394109295941671","0","0.00018394109295941671","0.00018394109295941671","8:0.0024900006323779755;10:0.0012535202292478786","8:68;10:68","8:0.001928650152621697;10:0.0011065829815333494","0.0159912109375","Yes"
"10","177.62218988731448","99.27355714009404","0.028564453125","0.02294921875","0.0302734375","2584","0.00028682972090350237","36","0.00028682972090350237","0","0.00028682972090350237","0.00028682972090350237","9:0.0012535202292478786;11:0.0015422206926694326","9:68;11:68","9:0.0011065829815333494;11:0.0012084222587108173","0.028564453125","Yes"
"11","225.72120362756638","189.25218745547292","0.0372314453125","0.0361328125","0.038330078125","2584","0.00020035507819953714","36","0.00020035507819953714","0","0.00020035507819953714","0.00020035507819953714","18:0.002320102980751887;10:0.0015422206926694326;12:0.001298329076456245","18:68;10:68;12:68","18:0.0014020575413489778;10:0.0012084222587108173;12:0.001155906934036277","0.0372314453125","Yes"
"12","161.6096308775462","109.1103777033459","0.0101318359375","0.008544921875","0.01171875","2584","0.0002325070374046119","36","0.0002325070374046119","0","0.0002325070374046119","0.0002325070374046119","13:0.0019064569714357382;11:0.001298329076456245","13:80;11:68","13:0.0017461129687994792;11:0.001155906934036277","0.0101318359375","Yes"
"13","219.1196298813494","207.47405910112354","0.008544921875","0.009521484375","0.007568359375","2584","0.00020460874509359796","36","0.00020460874509359796","0","0.00020460874509359796","0.00020460874509359796","12:0.0019064569714357382;14:0.0011690238063499225","12:80;14:80","12:0.0017461129687994792;14:0.001748628595161783","0.008544921875","Yes"
"14","382.4212004452734","160.62376760010204","0.005615234375","0.009033203125","0.002197265625","2584","0.00014750121946499562","36","0.00014750121946499562","0","0.00014750121946499562","0.00014750121946499562","15:0.001127074122981575;13:0.0011690238063499225","15:68;13:80","15:0.0015455154421034623;13:0.001748628595161783","0.005615234375","Yes"
"15","378.24265225187736","32.70621620124251","0.0047607421875","0.005859375","0.003662109375","2584","0.00009314188990448506","36","0.00009314188990448506","0","0.00009314188990448506","0.00009314188990448506","14:0.001127074122981575;19:0.001446677367301863","14:68;19:68","14:0.0015455154421034623;19:0.0010712260642926907","0.0047607421875","Yes"
"16","136.30930483003212","85.20276568782502","0.006103515625","0.01123046875","0.0009765625","2584","0.0006037990008007688","36","0.0006037990008007688","0","0.0006037990008007688","0.0006037990008007688","23:0.0020367762828990277;3:0.002401631094200357","23:68;3:68","23:0.0021596721632294313;3:0.0013746214391749112","0.006103515625","Yes"
"17","134.89234483849134","9.644698060116582","0.00537109375","0.006591796875","0.004150390625","2584","0.00033951127259236613","36","0.00033951127259236613","0","0.00033951127259236613","0.00033951127259236613","7:0.0014258818616577906;27:0.002134796554366325","7:68;27:68","7:0.0013751453005840797;27:0.002006911678045259","0.00537109375","Yes"
"18","94.19480452211049","112.48196236568711","0.0291748046875","0.03662109375","0.021728515625","2584","0.0003752882161114315","36","0.0003752882161114315","0","0.0003752882161114315","0.0003752882161114315","11:0.002320102980751887;31:0.002695808827652274","11:68;31:68","11:0.0014020575413489778;31:0.002313694663024335","0.0291748046875","Yes"
"19","148.07206212183584","73.99665942871005","0.0059814453125","0.01123046875","0.000732421875","2584","0.0002477406423655811","36","0.0002477406423655811","0","0.0002477406423655811","0.0002477406423655811","35:0.0017864751418406322;15:0.001446677367301863","35:80;15:68","35:0.0017218872413776176;15:0.0010712260642926907","0.0059814453125","Yes"
"20","142.2830662333631","135.34994717219564","0.009033203125","0.013671875","0.00439453125","2584","0.00039763432381753513","36","0.00039763432381753513","0","0.00039763432381753513","0.00039763432381753513","21:0.0021546965427927667","21:68","21:0.0017992691255654114","0.009033203125","Yes"
"21","312.3156298119319","223.00426306631994","0.006103515625","0.00927734375","0.0029296875","2584","0.00017438635007745005","36","0.00017438635007745005","0","0.00017438635007745005","0.00017438635007745005","36:0.0072720987631027245;20:0.0021546965427927667;22:0.002359223637141472","36:68;20:68;22:68","36:0.0016226266882329587;20:0.0017992691255654114;22:0.001499164171367695","0.006103515625","Yes"
"22","220.74325411139327","28.115560122546665","0.007080078125","0.0087890625","0.00537109375","2584","0.00040944842460332914","36","0.00040944842460332914","0","0.00040944842460332914","0.00040944842460332914","23:0.0022490118691080585;21:0.002359223637141472","23:68;21:68","23:0.002255683241717238;21:0.001499164171367695","0.007080078125","Yes"
"23","283.4065065777635","185.79815573871406","0.0517578125","0.084228515625","0.019287109375","2584","0.00027096595702836456","36","0.00027096595702836456","0","0.00027096595702836456","0.00027096595702836456","22:0.0022490118691080585;24:0.0038372947719727546;16:0.0020367762828990277","22:68;24:68;16:68","22:0.002255683241717238;24:0.0040538030541932;16:0.0021596721632294313","0.0517578125","Yes"
"24","171.21574471835322","135.43415192070404","0.0242919921875","0.0302734375","0.018310546875","2584","0.0002907207763234431","36","0.0002907207763234431","0","0.0002907207763234431","0.0002907207763234431","23:0.0038372947719727546;25:0.003951903376480659","23:68;25:68","23:0.0040538030541932;25:0.004387214479483037","0.0242919921875","Yes"
"25","143.69521766456276","67.97671893149078","0.015380859375","0.017822265625","0.012939453125","2584","0.000641423610590993","36","0.000641423610590993","0","0.000641423610590993","0.000641423610590993","24:0.003951903376480659;26:0.014866799249065699;37:0.004398860249271469","24:68;26:68;37:68","24:0.004387214479483037;26:0.01509492610502075;37:0.0042330823956456265","0.015380859375","Yes"
"26","9.001674661357002","6.731928120403066","0.0416259765625","0.074951171875","0.00830078125","2584","0.0031410080263408096","36","0.0031410080263408096","0","0.0031410080263408096","0.0031410080263408096","25:0.014866799249065699;27:0.010968271656583123","25:68;27:68","25:0.01509492610502075;27:0.01013243062959876","0.0416259765625","Yes"
"27","148.41979011776067","162.32388323403777","0.00634765625","0.01513671875","0.00048828125","2584","0.0003739927900891971","36","0.0003739927900891971","0","0.0003739927900891971","0.0003739927900891971","26:0.010968271656583123;28:0.0021398789413081265;17:0.002134796554366325","26:68;28:68;17:68","26:0.01013243062959876;28:0.0013597932529139656;17:0.002006911678045259","0.00634765625","Yes"
"28","185.94193272928933","117.88288196514681","0.0128173828125","0.01513671875","0.010498046875","2584","0.0005777951525340962","36","0.0005777951525340962","0","0.0005777951525340962","0.0005777951525340962","27:0.0021398789413081265;29:0.002659239029257604","27:68;29:68","27:0.0013597932529139656;29:0.0024311463119582044","0.0128173828125","Yes"
"29","56.56714793838353","62.05528969898102","0.4527587890625","0.241943359375","0.66357421875","2584","0.0004971403815280047","36","0.0004971403815280047","0","0.0004971403815280047","0.0004971403815280047","38:0.0025230270039848235;28:0.002659239029257604;30:0.003291697647614805","38:68;28:68;30:68","38:0.0029888180144711507;28:0.0024311463119582044;30:0.0020647104571718256","0.4527587890625","Yes"
"30","219.46747425637594","83.52283948435375","0.0380859375","0.03125","0.044921875","2584","0.0007347022196050256","36","0.0007347022196050256","0","0.0007347022196050256","0.0007347022196050256","31:0.002675125833395159;29:0.003291697647614805","31:68;29:68","31:0.003944199868520043;29:0.0020647104571718256","0.0380859375","Yes"
"31","205.18817310512534","68.23535853708225","0.0762939453125","0.1064453125","0.046142578125","2584","0.00046966707113053863","36","0.00046966707113053863","0","0.00046966707113053863","0.00046966707113053863","30:0.002675125833395159;32:0.0031105408475399776;18:0.002695808827652274","30:68;32:68;18:68","30:0.003944199868520043;32:0.002752698000533682;18:0.002313694663024335","0.0762939453125","Yes"
"32","185.67106554812966","32.14733991849903","0.0130615234375","0.01611328125","0.010009765625","2584","0.000287173330062964","36","0.000287173330062964","0","0.000287173330062964","0.000287173330062964","31:0.0031105408475399776;33:0.0024828039238604382","31:68;33:68","31:0.002752698000533682;33:0.0020540022192999108","0.0130615234375","Yes"
"33","140.57151565700272","148.388909047842","0.0087890625","0.0146484375","0.0029296875","2584","0.00037113045736013767","36","0.00037113045736013767","0","0.00037113045736013767","0.00037113045736013767","39:0.002073624109953126;32:0.0024828039238604382;34:0.0021148765759879395","39:68;32:68;34:68","32:0.0020540022192999108;34:0.0016724745047643763","0.0087890625","Yes"
"34","170.38995394899118","123.84439913078955","0.005126953125","0.007568359375","0.002685546875","2584","0.0006048086341619814","36","0.0006048086341619814","0","0.0006048086341619814","0.0006048086341619814","33:0.0021148765759879395;35:0.0018661960139329525","33:68;35:68","33:0.0016724745047643763;35:0.002026610219434566","0.005126953125","Yes"
